start
time Gaze_x    Gaze_y    Contents
111   0.832587132029062 0.467310157657835    8
112   0.838753305396835 0.471692792469412    8
113   0.840543952298162 0.451439692462827    8
114   0.843921092910136 0.466318342850627    8
115   0.834553959602545 0.46184778342797    8
116   0.833008552964429 0.45735240762383    8
117   0.843638238061317 0.470569694803316    8
118   0.838387039270856 0.461498431244422    8
119   0.84043026224424 0.479442643325456    8
120   0.836114964129365 0.4650930971751    8
121   0.837020986125481 0.484861576345565    8
122   0.840610780433508 0.465265015539217    8
123   0.833467897041714 0.469669255246004    8
124   0.828436314680857 0.461551043064901    8
125   0.837303911217873 0.450787445814854    8
126   0.839641789207008 0.460283555731394    8
127   0.836305475433505 0.502382325493386    8
128   0.846865382460351 0.461835253115737    8
129   0.838384534491638 0.464103581407358    8
130   0.858674134989769 0.461386444298455    8
131   0.858632305905417 0.470281650664674    8
132   0.858939801334031 0.479851647870532    8
133   0.861998626533023 0.483378046692906    8
134   0.852117627781126 0.487914800260114    8
135   0.849840135736144 0.482597318556486    8
136   0.858429832312709 0.472937940271891    8
137   0.851623824763237 0.464770602426483    8
138   0.854872098309556 0.477917775852461    8
139   0.857413943311144 0.477784970200219    8
140   0.852436249312177 0.478679434839819    8
141   0.85063652532483 0.471026751933891    8
142   0.854985192830554 0.495397715508716    8
143   0.875895060022572 0.490706552215215    8
144   0.859573761486445 0.486808066436424    8
145   0.855153016508439 0.478833865096021    8
146   0.858180272215805 0.482600550537768    8
147   0.856171095526861 0.479145521635019    8
148   0.858890193869684 0.482623462143238    8
149   0.855626258182724 0.491077721533543    8
150   0.871833509743283 0.496819691056658    8
151   0.861585745785646 0.496711827326862    8
152   0.852153837632613 0.487380464270473    8
153   0.834009041060654 0.525337546439459    8
154   0.834286166200059 0.50427223779252    8
155   0.843625319176113 0.490805631424337    8
156   0.841635379389118 0.512875846467182    8
157   0.835643891816289 0.520588427017856    8
158   0.836021864025952 0.527247451241806    8
159   0.831669586129919 0.500815363025595    8
160   0.835833795670965 0.512657816265687    8
161   0.840398241067192 0.510364532609287    8
162   0.836207628202146 0.505161539891901    8
163   0.835016983840774 0.505941163624357    8
164   0.835146149280149 0.50841835357312    8
165   0.838703802084297 0.510325073801255    8
166   0.83771721498681 0.509904696175909    8
167   0.83862745989029 0.529009431670943    8
168   0.838388040257314 0.496163074039032    8
169   0.843406546860024 0.525020409238095    8
170   0.826564436927924 0.523793312143994    8
171   0.836487528990574 0.521062946824031    8
172   0.836810093652048 0.531803687204501    8
173   0.837599367543362 0.519234790443761    8
174   0.837014930421333 0.525548664538633    8
175   0.852379311534378 0.517450221774311    8
176   0.865699528931259 0.526517311293219    8
177   0.866388347568659 0.522462628864218    8
178   0.862259880599709 0.508971268959726    8
179   0.863154938179605 0.537982625372251    8
180   0.863257257390387 0.540265336914217    8
181   0.863284440146685 0.524858278360512    8
182   0.859711580301678 0.55799346727656    8
183   0.871298241872523 0.527814948463288    8
184   0.866487982227 0.540531495778396    8
185   0.859191335775222 0.537787942957266    8
186   0.916187744152467 0.570781432433705    8
187   0.901131432747434 0.562681393715138    8
188   0.905977072130327 0.576069889978044    8
189   0.911830696332686 0.567603280789172    8
190   0.910890177043484 0.561199751436448    8
191   0.910948738275238 0.575016876852033    8
192   0.91284232385226 0.559516819397459    8
193   0.910772576297177 0.566659274428616    8
194   0.913723722723944 0.564832167991881    8
195   0.913268776523751 0.564580724247548    8
196   0.906001220898247 0.564955370924395    8
197   0.906554504914084 0.558927664837825    8
198   0.909914016044468 0.56093900932251    8
199   0.90917011758529 0.577180639845324    8
200   0.912052097395645 0.55685570485889    8
201   0.918974609245538 0.551633572544574    8
202   0.921245863218815 0.563601764822806    8
203   0.908170917770576 0.567955009003072    8
204   0.905742065241725 0.575362790257486    8
205   0.908416960766203 0.561104563882395    8
206   0.950533427261007 0.56429428210447    8
207   0.952425948300743 0.535523055490899    8
208   0.963591348502632 0.540075091979588    8
209   0.951028115661984 0.537845449520773    8
210   0.954246371419572 0.56680912727154    8
211   0.949469924390428 0.557622468316481    8
212   0.951184251274867 0.564370223007245    8
213   0.956699177854148 0.55233808349476    8
214   0.958133762528746 0.555111406776746    8
215   0.95872821491912 0.560543868774971    8
216   0.946971084704614 0.567639907145576    8
217   0.952575005868766 0.556889446677133    8
218   0.952641641186688 0.554202513152518    8
219   0.952455270690507 0.556977233658927    8
220   0.959860526458328 0.564250339169007    8
221   0.953554667046092 0.541176137483603    8
222   0.957283114912229 0.568764574698207    8
223   0.952923038031258 0.576695548056591    8
224   0.96128200755436 0.550071728350076    8
225   0.95973437019893 0.566396884110986    8
226   0.959506173158275 0.585850874658036    8
227   0.954314612089206 0.565994272112448    8
228   0.957335402600052 0.562791871520176    8
229   0.957946977162578 0.546188013556844    8
230   0.956115297400743 0.554248703879239    8
231   0.955881034370577 0.556555628874548    8
232   0.957344495727057 0.557237967894935    8
233   0.960275424641736 0.559119557168287    8
234   0.963719751707345 0.543194470727258    8
235   0.954409263181219 0.549671526476004    8
236   0.960821629114548 0.54822030107573    8
237   0.961240264665093 0.544159541055365    8
238   0.95679502892267 0.551394721558381    8
239   0.954744526151785 0.54102666192648    8
240   0.954917495416566 0.544696476481477    8
241   0.947701267978573 0.569367447982813    8
242   0.876013420528125 0.568616744955989    8
243   0.871520067684514 0.585169414718052    8
244   0.868644134708802 0.566452040273134    8
245   0.861823790947369 0.547695285199438    8
246   0.866965289342374 0.553858722534528    8
247   0.864966428006369 0.5765763169004    8
248   0.868794133142501 0.573538041508641    8
249   0.856205835534979 0.588105548254475    8
250   0.866201847216644 0.556880564702965    8
251   0.865468386562384 0.567860422663443    8
252   0.860653836114011 0.582806707400437    8
253   0.858949890515987 0.585030872775974    8
254   0.866581256155882 0.547563793817176    8
255   0.87061066526519 0.566512728421003    8
256   0.871681495484609 0.549227472130383    8
257   0.865069588497136 0.572525257830421    8
258   0.870363222680794 0.568253800653565    8
259   0.863403948613723 0.589747776116951    8
260   0.862347493613697 0.549445383431134    8
261   0.862139950374058 0.554016571603938    8
262   0.867479005053383 0.583070018098624    8
263   0.867549163133049 0.538157693231369    8
264   0.848355863308939 0.487620088468248    8
265   0.830947530688491 0.487577849494528    8
266   0.83819249432463 0.488295871701439    8
267   0.840090788978841 0.463266476516424    8
268   0.836115886473522 0.485833491394828    8
269   0.834184340950287 0.494438051929251    8
270   0.835868123871023 0.485523527615214    8
271   0.83439481223229 0.473089837732573    8
272   0.838966976943198 0.47881865988154    8
273   0.839661418321271 0.475761969396331    8
274   0.828883959338327 0.489891959159991    8
