start


confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=964 , Y=1114],  error Point2D [X=4 , Y=34]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=970 , Y=1110],  error Point2D [X=10 , Y=30]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=972 , Y=1139],  error Point2D [X=12 , Y=59]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=975 , Y=1114],  error Point2D [X=15 , Y=34]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=963 , Y=1110],  error Point2D [X=3 , Y=30]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=948 , Y=1096],  error Point2D [X=-12 , Y=16]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=940 , Y=1089],  error Point2D [X=-20 , Y=9]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=939 , Y=1096],  error Point2D [X=-21 , Y=16]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=942 , Y=1074],  error Point2D [X=-18 , Y=-6]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=932 , Y=1107],  error Point2D [X=-28 , Y=27]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=942 , Y=1098],  error Point2D [X=-18 , Y=18]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=946 , Y=1095],  error Point2D [X=-14 , Y=15]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1135],  error Point2D [X=-29 , Y=55]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=916 , Y=1144],  error Point2D [X=-44 , Y=64]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1083],  error Point2D [X=-29 , Y=3]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=940 , Y=1100],  error Point2D [X=-20 , Y=20]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1100],  error Point2D [X=-29 , Y=20]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=947 , Y=1091],  error Point2D [X=-13 , Y=11]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=926 , Y=1078],  error Point2D [X=-34 , Y=-2]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=936 , Y=1083],  error Point2D [X=-24 , Y=3]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=940 , Y=1090],  error Point2D [X=-20 , Y=10]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1116],  error Point2D [X=-29 , Y=36]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=940 , Y=1103],  error Point2D [X=-20 , Y=23]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=933 , Y=1093],  error Point2D [X=-27 , Y=13]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=921 , Y=1111],  error Point2D [X=-39 , Y=31]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=924 , Y=1108],  error Point2D [X=-36 , Y=28]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=940 , Y=1080],  error Point2D [X=-20 , Y=0]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=916 , Y=1109],  error Point2D [X=-44 , Y=29]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1087],  error Point2D [X=-29 , Y=7]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=932 , Y=1114],  error Point2D [X=-28 , Y=34]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=925 , Y=1127],  error Point2D [X=-35 , Y=47]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=929 , Y=1100],  error Point2D [X=-31 , Y=20]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=943 , Y=1093],  error Point2D [X=-17 , Y=13]
